subj_idx,go,s,c,r,rt
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
7,1,1,1,1,1.364
7,1,1,0,0,NaN
7,1,1,1,1,0.88258
7,1,1,1,0,0.70839
7,1,1,1,0,1.2709
7,1,1,1,1,0.93605
7,1,1,1,1,1.7393
7,1,1,1,1,1.0299
7,1,1,1,1,0.45422
7,1,1,1,1,0.74879
7,1,1,1,1,1.0567
7,1,1,1,1,0.68183
7,1,1,1,1,0.38732
7,1,1,1,1,0.66839
7,1,1,1,0,1.4316
7,1,1,1,1,1.311
7,1,1,1,1,0.85581
7,1,1,1,1,1.4048
7,1,1,1,1,0.82905
7,1,1,1,0,1.0433
7,1,1,1,1,0.896
7,1,1,1,1,0.85587
7,1,1,1,1,0.68169
7,1,1,1,0,0.90935
7,1,1,1,1,0.53488
7,1,1,1,1,1.1904
7,1,1,1,0,0.44086
7,1,1,0,0,NaN
7,1,1,1,1,0.66822
7,1,1,1,1,0.56133
7,1,1,1,1,0.98972
7,1,1,1,0,0.72203
7,1,1,1,1,0.34718
7,1,1,1,1,0.37389
7,1,1,1,1,0.7755
7,1,1,1,0,0.48102
7,1,1,1,1,0.76211
7,1,1,1,1,0.68185
7,1,1,1,1,0.85589
7,1,1,1,1,0.72196
7,1,1,1,1,0.70864
7,1,1,1,1,0.9764
7,1,1,1,0,0.93615
7,1,1,1,1,0.80228
7,1,1,1,1,1.2308
7,1,1,1,0,1.0165
7,1,1,1,1,0.89652
7,1,1,1,1,0.53456
7,1,1,1,1,1.2174
7,1,1,1,1,0.49441
7,1,1,0,0,NaN
7,1,1,1,1,0.46747
7,1,1,1,1,0.48101
